臺北市,Tāi-pak-tshī
高雄市,Ko-hiông-tshī
新北市,Sin-pak-tshī
宜蘭縣,Gî-lân-kuān
桃園縣,Thô-hn̂g-kuān
新竹縣,Sin-tik-kuān
苗栗縣,Biâu-li̍k-kuān
彰化縣,Tsiang-huà-kuān
南投縣,Lâm-tâu-kuān
雲林縣,Hûn-lîm-kuān
嘉義縣,Ka-gī-kuān
屏東縣,Pîn-tong-kuān
臺東縣,Tâi-tang-kuān
花蓮縣,Hua-lian-kuān
澎湖縣,Phînn-ôo-kuān
基隆市,Ke-lâng-tshī
新竹市,Sin-tik-tshī
臺中市,Tâi-tiong-tshī
嘉義市,Ka-gī-tshī
臺南市,Tâi-lâm-tshī
金門縣,Kim-mn̂g-kuān
連江縣,Liân-kang-kuān
松山區,Siông-san-khu
信義區,Sìn-gī-khu
大安區,Tāi-an-khu
中山區,Tiong-san-khu
中正區,Tiong-tsìng-khu
大同區,Tāi-tông-khu
萬華區,Bān-huâ-khu
文山區,Bûn-san-khu
南港區,Lâm-káng-khu
內湖區,Lāi-ôo-khu
士林區,Sū-lîm-khu
北投區,Pak-tâu-khu
鹽埕區,Iâm-tiânn-khu
鼓山區,Kóo-san-khu
左營區,Tsó-iânn-khu
楠梓區,Lâm-tsú-khu
三民區,Sam-bîn-khu
新興區,Sin-hing-khu
前金區,Tsiân-kim-khu
苓雅區,Lîng-ngá-khu
前鎮區,Tsiân-tìn-khu
旗津區,Kî-tin-khu
小港區,Sió-káng-khu
鳳山區,Hōng-suann-khu
林園區,Lîm-hn̂g-khu
大寮區,Tuā-liâu-khu
大樹區,Tuā-tshiū-khu
大社區,Tuā-siā-khu
仁武區,Jîn-bú-khu
鳥松區,Tsiáu-tshîng-khu
岡山區,Kong-san-khu
橋頭區,Kiô-thâu-khu
燕巢區,Iàn-tsâu-khu
田寮區,Tshân-liâu-khu
阿蓮區,A-lian-khu
路竹區,Lōo-tik-khu
湖內區,Ôo-lāi-khu
茄萣區,Ka-tiānn-khu
永安區,Íng-an-khu
彌陀區,Mî-tô-khu
梓官區,Tsú-kuann-khu
旗山區,Kî-san-khu
美濃區,Bi-long-khu
六龜區,La̍k-ku-khu
甲仙區,Kah-sian-khu
杉林區,Sam-nâ-khu
內門區,Lāi-mn̂g-khu
茂林區,Bōo-lîm-khu
桃源區,Thô-guân-khu
三民區,Sam-bîn-khu
板橋區,Pang-kiô-khu
三重區,Sam-tiông-khu
中和區,Tiong-hô-khu
永和區,Íng-hô-khu
新莊區,Sin-tsng-khu
新店區,Sin-tiàm-khu
樹林區,Tshiū-nâ-khu
鶯歌區,Ing-ko-khu
三峽區,Sam-kiap-khu
淡水區,Tām-tsuí-khu
汐止區,Si̍k-tsí-khu
瑞芳區,Suī-hong-khu
土城區,Thôo-siânn-khu
蘆洲區,Lôo-tsiu-khu
五股區,Gōo-kóo-khu
泰山區,Thài-san-khu
林口區,Nâ-kháu-khu
深坑區,Tshim-khinn-khu
石碇區,Tsio̍h-tīng-khu
坪林區,Pînn-nâ-khu
三芝區,Sam-tsi-khu
石門區,Tsio̍h-mn̂g-khu
八里區,Pat-lí-khu
平溪區,Pîng-khue-khu
雙溪區,Siang-khe-khu
貢寮區,Kòng-liâu-khu
金山區,Kim-san-khu
萬里區,Bān-lí-khu
烏來區,U-lai-khu
宜蘭市,Gî-lân-tshī
羅東鎮,Lô-tong-tìn
蘇澳鎮,Soo-ò-tìn
頭城鎮,Thâu-siânn-tìn
礁溪鄉,Ta-khe-hiong
壯圍鄉,Tsòng-uî-hiong
員山鄉,Înn-suann-hiong
冬山鄉,Tang-suann-hiong
五結鄉,Gōo-kiat-hiong
三星鄉,Sam-sing-hiong
大同鄉,Tāi-tông-hiong
南澳鄉,Lâm-ò-hiong
桃園市,Thô-hn̂g-tshī
中壢市,Tiong-li̍k-tshī
大溪鎮,Tāi-khe-tìn
楊梅鎮,Iûnn-muî-tìn
蘆竹鄉,Lôo-tik-hiong
大園鄉,Tuā-hn̂g-hiong
龜山鄉,Ku-suann-hiong
八德市,Pat-tik-tshī
龍潭鄉,Liông-thâm-hiong
平鎮市,Pîng-tìn-tshī
新屋鄉,Sin-ok-hiong
觀音鄉,Kuan-im-hiong
復興鄉,Ho̍k-hing-hiong
竹北市,Tik-pak-tshī
竹東鎮,Tik-tang-tìn
新埔鎮,Sin-poo-tìn
關西鎮,Kuan-se-tìn
湖口鄉,Ôo-kháu-hiong
新豐鄉,Sin-hong-hiong
芎林鄉,Kiong-nâ-hiong
橫山鄉,Huâinn-suann-hiong
北埔鄉,Pak-poo-hiong
寶山鄉,Pó-san-hiong
峨眉鄉,Ngôo-bî-hiong
尖石鄉,Tsiam-tsio̍h-hiong
五峰鄉,Ngóo-hong-hiong
苗栗市,Biâu-li̍k-tshī
苑裡鎮,Uán-lí-tìn
通霄鎮,Thong-siau-tìn
竹南鎮,Tik-lâm-tìn
頭份鎮,Thâu-hūn-tìn
後龍鎮,Āu-lâng-tìn
卓蘭鎮,Toh-lân-tìn
大湖鄉,Tuā-ôo-hiong
公館鄉,Kong-kuán-hiong
銅鑼鄉,Tâng-lô-hiong
南庄鄉,Lâm-tsng-hiong
頭屋鄉,Thâu-ok-hiong
三義鄉,Sam-gī-hiong
西湖鄉,Se-ôo-hiong
造橋鄉,Tsō-kiô-hiong
三灣鄉,Sam-uan-hiong
獅潭鄉,Sai-thâm-hiong
泰安鄉,Thài-an-hiong
彰化市,Tsiong-huà-tshī
鹿港鎮,Lo̍k-káng-tìn
和美鎮,Hô-bí-tìn
線西鄉,Suànn-sai-hiong
伸港鄉,Sin-káng-hiong
福興鄉,Hok-hing-hiong
秀水鄉,Siù-tsuí-hiong
花壇鄉,Hue-tuânn-hiong
芬園鄉,Hun-hn̂g-hiong
員林鎮,Uân-lîm-tìn
溪湖鎮,Khe-ôo-tìn
田中鎮,Tiân-tiong-tìn
大村鄉,Tuā-tshun-hiong
埔鹽鄉,Poo-iâm-hiong
埔心鄉,Poo-sim-hiong
永靖鄉,Íng-tsīng-hiong
社頭鄉,Siā-thâu-hiong
二水鄉,Jī-tsuí-hiong
北斗鎮,Pak-táu-tìn
二林鎮,Jī-lîm-tìn
田尾鄉,Tshân-bué-hiong
埤頭鄉,Pi-thâu-hiong
芳苑鄉,Hong-uán-hiong
大城鄉,Tuā-siânn-hiong
竹塘鄉,Tik-tn̂g-hiong
溪州鄉,Khe-tsiu-hiong
南投市,Lâm-tâu-tshī
埔里鎮,Poo-lí-tìn
草屯鎮,Tsháu-tùn-tìn
竹山鎮,Tik-san-tìn
集集鎮,Tsi̍p-tsi̍p-tìn
